switch,display_order,label,source_page,source_note
Edari-1,1,T1,1,page1 Edari-1 corrected odd/even; 3850 upper position 1
Edari-1,2,T25,1,page1 Edari-1 corrected odd/even; 3850 lower position 1
Edari-1,3,T2,1,page1 Edari-1 corrected odd/even; 3850 upper position 2
Edari-1,4,T26,1,page1 Edari-1 corrected odd/even; 3850 lower position 2
Edari-1,5,T3,1,page1 Edari-1 corrected odd/even; 3850 upper position 3
Edari-1,6,T27,1,page1 Edari-1 corrected odd/even; 3850 lower position 3
Edari-1,7,T4,1,page1 Edari-1 corrected odd/even; 3850 upper position 4
Edari-1,8,T28,1,page1 Edari-1 corrected odd/even; 3850 lower position 4
Edari-1,9,T5,1,page1 Edari-1 corrected odd/even; 3850 upper position 5
Edari-1,10,T29,1,page1 Edari-1 corrected odd/even; 3850 lower position 5
Edari-1,11,T6,1,page1 Edari-1 corrected odd/even; 3850 upper position 6
Edari-1,12,T30,1,page1 Edari-1 corrected odd/even; 3850 lower position 6
Edari-1,13,T7,1,page1 Edari-1 corrected odd/even; 3850 upper position 7
Edari-1,14,T31,1,page1 Edari-1 corrected odd/even; 3850 lower position 7
Edari-1,15,T8,1,page1 Edari-1 corrected odd/even; 3850 upper position 8
Edari-1,16,T32,1,page1 Edari-1 corrected odd/even; 3850 lower position 8
Edari-1,17,T9,1,page1 Edari-1 corrected odd/even; 3850 upper position 9
Edari-1,18,T33,1,page1 Edari-1 corrected odd/even; 3850 lower position 9
Edari-1,19,T10,1,page1 Edari-1 corrected odd/even; 3850 upper position 10
Edari-1,20,T34,1,page1 Edari-1 corrected odd/even; 3850 lower position 10
Edari-1,21,T11,1,page1 Edari-1 corrected odd/even; 3850 upper position 11
Edari-1,22,T35,1,page1 Edari-1 corrected odd/even; 3850 lower position 11
Edari-1,23,T12,1,page1 Edari-1 corrected odd/even; 3850 upper position 12
Edari-1,24,T36,1,page1 Edari-1 corrected odd/even; 3850 lower position 12
Edari-1,25,T13,1,page1 Edari-1 corrected odd/even; 3850 upper position 13
Edari-1,26,T37,1,page1 Edari-1 corrected odd/even; 3850 lower position 13
Edari-1,27,T14,1,page1 Edari-1 corrected odd/even; 3850 upper position 14
